date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,blank
2020-04-05,24,11,52,21,35,182,S,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,5.0,0.2,90,10,5,998,30,75,9,49,8,46,6,42,34,55,6,"42
"
2020-04-06,24,12,53,10,16,245,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,1.3,0.1,78,10,6,1014,30,49,8,46,4,39,5,41,16,26,5,"41
"
2020-04-07,24,11,52,8,13,168,SSE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,83,9,5,1026,31,30,8,46,5,41,6,42,12,19,6,"42
"
2020-04-08,24,14,57,3,5,120,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,85,8,4,1025,31,14,9,48,7,44,9,48,5,8,9,"48
"
2020-04-09,24,14,57,6,10,112,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,89,6,3,1023,31,42,10,50,8,47,9,48,9,14,9,"48
"
2020-04-10,24,16,60,4,6,116,ESE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,86,10,6,1021,31,69,12,53,9,49,11,52,6,9,11,"52
"
2020-04-11,24,18,65,5,7,289,WNW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.3,0.1,86,7,4,1023,31,56,14,56,10,51,13,55,8,12,13,"55
"
2020-04-12,24,8,47,9,14,112,ESE,308,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Heavy rain,35.8,1.4,91,7,4,1013,30,95,7,44,7,44,5,40,14,23,5,"40
"
2020-04-13,24,11,51,14,23,74,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,2.9,0.1,83,10,6,1025,31,46,8,47,5,41,5,41,21,35,5,"41
"
2020-04-14,24,10,50,7,11,116,ESE,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,82,10,6,1028,31,29,6,43,3,37,4,39,10,17,4,"39
"
2020-04-15,24,12,53,8,12,92,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,82,10,6,1021,31,1,6,43,3,38,4,39,11,18,4,"39
"
