,CountyName,Date,ConfirmedCovidCases
662,Limerick,25/03/20,36
663,Longford,25/03/20,5
664,Louth,25/03/20,24
665,Mayo,25/03/20,18
666,Meath,25/03/20,33
667,Monaghan,25/03/20,5
668,Offaly,25/03/20,19
669,Roscommon,25/03/20,7
670,Sligo,25/03/20,8
671,Tipperary,25/03/20,34
672,Waterford,25/03/20,25
673,Westmeath,25/03/20,39
674,Wexford,25/03/20,9
675,Wicklow,25/03/20,52
676,Carlow,26/03/20,3
677,Cavan,26/03/20,11
678,Clare,26/03/20,31
679,Cork,26/03/20,184
680,Donegal,26/03/20,15
681,Dublin,26/03/20,1070
682,Galway,26/03/20,63
683,Kerry,26/03/20,47
684,Kildare,26/03/20,56
685,Kilkenny,26/03/20,29
686,Laois,26/03/20,11
687,Leitrim,26/03/20,3
688,Limerick,26/03/20,46
689,Longford,26/03/20,5
690,Louth,26/03/20,27
691,Mayo,26/03/20,21
692,Meath,26/03/20,41
693,Monaghan,26/03/20,8
694,Offaly,26/03/20,22
695,Roscommon,26/03/20,8
696,Sligo,26/03/20,10
697,Tipperary,26/03/20,44
698,Waterford,26/03/20,29
699,Westmeath,26/03/20,52
700,Wexford,26/03/20,10
701,Wicklow,26/03/20,58
702,Carlow,27/03/20,3
703,Cavan,27/03/20,19
704,Clare,27/03/20,34
705,Cork,27/03/20,208
706,Donegal,27/03/20,24
707,Dublin,27/03/20,1233
708,Galway,27/03/20,68
709,Kerry,27/03/20,53
710,Kildare,27/03/20,61
711,Kilkenny,27/03/20,33
712,Laois,27/03/20,14
713,Leitrim,27/03/20,3
714,Limerick,27/03/20,55
715,Longford,27/03/20,10
716,Louth,27/03/20,34
717,Mayo,27/03/20,26
718,Meath,27/03/20,46
719,Monaghan,27/03/20,11
720,Offaly,27/03/20,29
721,Roscommon,27/03/20,10
722,Sligo,27/03/20,12
723,Tipperary,27/03/20,53
724,Waterford,27/03/20,31
725,Westmeath,27/03/20,67
726,Wexford,27/03/20,12
727,Wicklow,27/03/20,65
728,Carlow,28/03/20,3
729,Cavan,28/03/20,24
730,Clare,28/03/20,34
731,Cork,28/03/20,217
732,Donegal,28/03/20,36
733,Dublin,28/03/20,1393
734,Galway,28/03/20,77
735,Kerry,28/03/20,60
736,Kildare,28/03/20,64
737,Kilkenny,28/03/20,36
738,Laois,28/03/20,14
739,Leitrim,28/03/20,6
740,Limerick,28/03/20,64
741,Longford,28/03/20,10
742,Louth,28/03/20,39
743,Mayo,28/03/20,28
744,Meath,28/03/20,47
745,Monaghan,28/03/20,12
746,Offaly,28/03/20,34
747,Roscommon,28/03/20,10
748,Sligo,28/03/20,19
749,Tipperary,28/03/20,62
750,Waterford,28/03/20,34
751,Westmeath,28/03/20,70
752,Wexford,28/03/20,12
753,Wicklow,28/03/20,69
754,Carlow,29/03/20,3
755,Cavan,29/03/20,31
756,Clare,29/03/20,40
757,Cork,29/03/20,238
758,Donegal,29/03/20,46
759,Dublin,29/03/20,1487
760,Galway,29/03/20,86
761,Kerry,29/03/20,66
762,Kildare,29/03/20,66
763,Kilkenny,29/03/20,36
764,Laois,29/03/20,15
765,Leitrim,29/03/20,6
766,Limerick,29/03/20,67
767,Longford,29/03/20,10
768,Louth,29/03/20,44
769,Mayo,29/03/20,36
770,Meath,29/03/20,54
771,Monaghan,29/03/20,13
772,Offaly,29/03/20,34
773,Roscommon,29/03/20,10
774,Sligo,29/03/20,19
775,Tipperary,29/03/20,71
776,Waterford,29/03/20,33
777,Westmeath,29/03/20,77
778,Wexford,29/03/20,15
779,Wicklow,29/03/20,73
780,Carlow,30/03/20,3
781,Cavan,30/03/20,36
782,Clare,30/03/20,45
783,Cork,30/03/20,255
784,Donegal,30/03/20,63
785,Dublin,30/03/20,1645
786,Galway,30/03/20,88
787,Kerry,30/03/20,68
788,Kildare,30/03/20,80
789,Kilkenny,30/03/20,37
790,Laois,30/03/20,16
791,Leitrim,30/03/20,10
792,Limerick,30/03/20,87
793,Longford,30/03/20,12
794,Louth,30/03/20,51
795,Mayo,30/03/20,48
796,Meath,30/03/20,66
797,Monaghan,30/03/20,13
798,Offaly,30/03/20,40
799,Roscommon,30/03/20,10
800,Sligo,30/03/20,22
801,Tipperary,30/03/20,85
802,Waterford,30/03/20,37
803,Westmeath,30/03/20,80
804,Wexford,30/03/20,15
805,Wicklow,30/03/20,77
806,Carlow,31/03/20,3
807,Cavan,31/03/20,39
808,Clare,31/03/20,49
809,Cork,31/03/20,272
810,Donegal,31/03/20,68
811,Dublin,31/03/20,1838
812,Galway,31/03/20,91
813,Kerry,31/03/20,72
814,Kildare,31/03/20,90
815,Kilkenny,31/03/20,37
816,Laois,31/03/20,16
817,Leitrim,31/03/20,12
818,Limerick,31/03/20,94
819,Longford,31/03/20,14
820,Louth,31/03/20,52
821,Mayo,31/03/20,52
822,Meath,31/03/20,74
823,Monaghan,31/03/20,17
824,Offaly,31/03/20,46
825,Roscommon,31/03/20,10
826,Sligo,31/03/20,25
827,Tipperary,31/03/20,91
828,Waterford,31/03/20,38
829,Westmeath,31/03/20,81
830,Wexford,31/03/20,16
831,Wicklow,31/03/20,84
832,Carlow,01/04/20,3
833,Cavan,01/04/20,41
834,Clare,01/04/20,50
835,Cork,01/04/20,292
836,Donegal,01/04/20,77
837,Dublin,01/04/20,2077
838,Galway,01/04/20,98
839,Kerry,01/04/20,79
840,Kildare,01/04/20,103
841,Kilkenny,01/04/20,47
842,Laois,01/04/20,16
843,Leitrim,01/04/20,12
844,Limerick,01/04/20,96
845,Longford,01/04/20,16
846,Louth,01/04/20,54
847,Mayo,01/04/20,55
848,Meath,01/04/20,88
849,Monaghan,01/04/20,18
850,Offaly,01/04/20,47
851,Roscommon,01/04/20,13
852,Sligo,01/04/20,26
853,Tipperary,01/04/20,94
854,Waterford,01/04/20,43
855,Westmeath,01/04/20,86
856,Wexford,01/04/20,18
857,Wicklow,01/04/20,105
858,Carlow,02/04/20,6
859,Cavan,02/04/20,67
860,Clare,02/04/20,54
861,Cork,02/04/20,304
862,Donegal,02/04/20,80
863,Dublin,02/04/20,2251
864,Galway,02/04/20,105
865,Kerry,02/04/20,84
866,Kildare,02/04/20,136
867,Kilkenny,02/04/20,54
868,Laois,02/04/20,21
869,Leitrim,02/04/20,13
870,Limerick,02/04/20,116
871,Longford,02/04/20,17
872,Louth,02/04/20,55
873,Mayo,02/04/20,63
874,Meath,02/04/20,93
875,Monaghan,02/04/20,20
876,Offaly,02/04/20,63
877,Roscommon,02/04/20,13
878,Sligo,02/04/20,27
879,Tipperary,02/04/20,105
880,Waterford,02/04/20,43
881,Westmeath,02/04/20,92
882,Wexford,02/04/20,20
883,Wicklow,02/04/20,112
884,Carlow,03/04/20,12
885,Cavan,03/04/20,76
886,Clare,03/04/20,54
887,Cork,03/04/20,343
888,Donegal,03/04/20,81
889,Dublin,03/04/20,2490
890,Galway,03/04/20,108
891,Kerry,03/04/20,85
892,Kildare,03/04/20,152
893,Kilkenny,03/04/20,73
894,Laois,03/04/20,22
895,Leitrim,03/04/20,13
896,Limerick,03/04/20,128
897,Longford,03/04/20,17
898,Louth,03/04/20,64
899,Mayo,03/04/20,78
900,Meath,03/04/20,106
901,Monaghan,03/04/20,23
902,Offaly,03/04/20,64
903,Roscommon,03/04/20,15
904,Sligo,03/04/20,28
905,Tipperary,03/04/20,118
906,Waterford,03/04/20,46
907,Westmeath,03/04/20,94
908,Wexford,03/04/20,21
909,Wicklow,03/04/20,132
910,Carlow,04/04/20,12
911,Cavan,04/04/20,115
912,Clare,04/04/20,60
913,Cork,04/04/20,362
914,Donegal,04/04/20,103
915,Dublin,04/04/20,2692
916,Galway,04/04/20,112
917,Kerry,04/04/20,89
918,Kildare,04/04/20,175
919,Kilkenny,04/04/20,75
920,Laois,04/04/20,25
921,Leitrim,04/04/20,14
922,Limerick,04/04/20,140
